%$Well : Cockburn1 : 04/04/2013 13:01:25
%DEPTH      PERM_F1    PHI        
%M          mD         Dec        
363.7788   3810.9844  0.2871     
363.9312   3789.9951  0.2870     
364.0836   3782.9326  0.2869     
364.2360   3783.0898  0.2869     
364.3884   3781.1296  0.2869     
364.5408   3774.4390  0.2869     
364.6932   3758.8350  0.2867     
364.8456   3740.6123  0.2866     
364.9980   3727.0024  0.2865     
365.1504   3719.5659  0.2864     
365.3028   3693.1050  0.2862     
365.4552   3652.1968  0.2859     
365.6076   3609.0825  0.2856     
365.7600   3558.6619  0.2852     
365.9124   3509.2729  0.2848     
366.0648   3507.0664  0.2848     
366.2172   3510.5142  0.2848     
366.3696   3516.5027  0.2848     
366.5220   3528.4409  0.2849     
366.6744   3541.5410  0.2850     
366.8268   3550.1589  0.2851     
366.9792   3562.9109  0.2852     
367.1316   3577.3066  0.2853     
367.2840   3597.5334  0.2855     
367.4364   3614.5054  0.2856     
367.5888   3641.1689  0.2858     
367.7412   3672.3223  0.2861     
367.8936   3701.3760  0.2863     
368.0460   3715.7715  0.2864     
368.1984   3703.5803  0.2863     
368.3508   3670.0046  0.2861     
368.5032   3625.5400  0.2857     
368.6556   3577.7773  0.2853     
368.8080   3519.8669  0.2849     
368.9604   3439.2959  0.2842     
369.1128   3359.2271  0.2835     
369.2652   3277.1296  0.2828     
369.4176   3197.6226  0.2821     
369.5700   3139.1047  0.2816     
369.7224   3123.9346  0.2815     
369.8748   3138.5469  0.2816     
370.0272   3147.2124  0.2817     
370.1796   3147.6318  0.2817     
370.3320   3141.5337  0.2817     
370.4844   3128.7368  0.2815     
370.6368   3107.6487  0.2813     
370.7892   3067.7878  0.2810     
370.9416   3024.3477  0.2806     
371.0940   2980.7961  0.2802     
371.2464   2948.6868  0.2799     
371.3988   2938.8240  0.2798     
371.5512   2936.1580  0.2798     
371.7036   2925.6128  0.2797     
371.8560   2890.7188  0.2793     
372.0084   2849.1204  0.2789     
372.1608   2816.4619  0.2786     
372.3132   2796.8206  0.2784     
372.4656   2791.2061  0.2783     
372.6180   2800.1782  0.2784     
372.7704   2803.3298  0.2785     
372.9228   2790.3186  0.2783     
373.0752   2776.3774  0.2782     
373.2276   2770.0044  0.2781     
373.3800   2775.2502  0.2782     
373.5324   2793.2510  0.2784     
373.6848   2800.8018  0.2784     
373.8372   2781.3779  0.2782     
373.9896   2745.3008  0.2779     
374.1420   2696.3948  0.2774     
374.2944   2657.2551  0.2770     
374.4468   2652.8611  0.2769     
374.5992   2645.0039  0.2768     
374.7516   2624.4373  0.2766     
374.9040   2606.2053  0.2764     
375.0564   2595.8931  0.2763     
375.2088   2598.3521  0.2764     
375.3612   2609.3762  0.2765     
375.5136   2619.0479  0.2766     
375.6660   2620.2024  0.2766     
375.8184   2618.2268  0.2766     
375.9708   2609.1541  0.2765     
376.1232   2574.2253  0.2761     
376.2756   2511.6001  0.2754     
376.4280   2447.8733  0.2747     
376.5804   2378.1853  0.2739     
376.7328   2305.0879  0.2731     
376.8852   2253.2478  0.2724     
377.0376   2231.6526  0.2722     
377.1900   2224.8110  0.2721     
377.3424   2226.8706  0.2721     
377.4948   2226.0833  0.2721     
377.6472   2222.4729  0.2721     
377.7996   2215.0278  0.2720     
377.9520   2204.3650  0.2718     
378.1044   2185.1526  0.2716     
378.2568   2154.3479  0.2712     
378.4092   2114.4983  0.2707     
378.5616   2069.8313  0.2701     
378.7140   2025.1063  0.2696     
378.8664   1982.9242  0.2690     
379.0188   1944.9558  0.2685     
379.1712   1914.1176  0.2680     
379.3236   1886.3480  0.2676     
379.4760   1858.6825  0.2672     
379.6284   1828.3540  0.2668     
379.7808   1802.9515  0.2664     
379.9332   1780.4734  0.2661     
380.0856   1760.2794  0.2658     
380.2380   1738.8547  0.2655     
380.3904   1715.1995  0.2651     
380.5428   1693.8407  0.2648     
380.6952   1676.3176  0.2645     
380.8476   1663.7239  0.2643     
381.0000   1653.7267  0.2641     
381.1524   1643.0804  0.2640     
381.3048   1631.8580  0.2638     
381.4572   1618.9320  0.2636     
381.6096   1601.7694  0.2633     
381.7620   1581.8877  0.2630     
381.9144   1564.4916  0.2627     
382.0668   1547.3346  0.2624     
382.2192   1535.4458  0.2622     
382.3716   1523.2217  0.2620     
382.5240   1496.2491  0.2615     
382.6764   1456.2224  0.2608     
382.8288   1410.9219  0.2600     
382.9812   1374.6541  0.2593     
383.1336   1356.9366  0.2590     
383.2860   1349.9097  0.2588     
